Assembly	shiver_genome	smaltalign_genome	viralngs_genome	vpipe_genome
# fully unaligned contigs	1	0	0	0
Fully unaligned length	8624	0	0	0
# partially unaligned contigs	-	0	0	0
Partially unaligned length	-	0	0	0
# N's	8624	0	603	0
