"Dataset","Sample","Assembly","total_reads","size","User_time","System_time","Elapsed_time","MRSS","File_outputs","CPU_percentage"
"V2312","NGS_Ode","SAMD00025491","vpipe",475630,80646284,11962.31,637.72," 56;57.30",1203408,16533920," 368%"
"V242","NGS_Ode","SAMD00025492","shiver",453178,67070447,5399.65,43.1," 1;27;16",1399656,15265048," 103%"
"V2114","NGS_Ode","SAMD00025492","smaltalign",453178,67070447,1906.68,16.6," 12;21.12",1427764,1970456," 259%"
"V2213","NGS_Ode","SAMD00025492","viralngs",453178,67070447,884.23,27.97," 4;30.44",1316792,5237976," 337%"
"V2313","NGS_Ode","SAMD00025492","vpipe",453178,67070447,17372.7,2038.86," 1;25;26",1201520,16981680," 378%"
"V243","NGS_Ode","SAMD00025493","shiver",587762,91631486,8650.97,57.42," 2;19;07",1477124,23207496," 104%"
"V2115","NGS_Ode","SAMD00025493","smaltalign",587762,91631486,1879.46,17.43," 11;21.87",1427332,2060768," 278%"
"V2214","NGS_Ode","SAMD00025493","viralngs",587762,91631486,1281.63,35.81," 7;08.48",1409808,8442664," 307%"
"V2314","NGS_Ode","SAMD00025493","vpipe",587762,91631486,21093.63,3567.05," 1;48;03",1184204,17708512," 380%"
"V244","NGS_Ode","SAMD00025494","shiver",389508,61148967,5589.39,43.98," 1;30;12",1514324,15172936," 104%"
"V2116","NGS_Ode","SAMD00025494","smaltalign",389508,61148967,1794.2,17.75," 10;53.44",1427692,2020960," 277%"
"V2215","NGS_Ode","SAMD00025494","viralngs",389508,61148967,844.2,24.42," 4;23.81",1062860,4872304," 329%"
"V2315","NGS_Ode","SAMD00025494","vpipe",389508,61148967,9735.58,484.6," 46;30.89",1204408,15818544," 366%"
"V245","NGS_Ode","SAMD00025495","shiver",515212,76421715,6836.48,56.8," 1;50;19",1527924,20343488," 104%"
"V2117","NGS_Ode","SAMD00025495","smaltalign",515212,76421715,1736.56,14.47," 10;57.45",1428076,1960920," 266%"
"V2216","NGS_Ode","SAMD00025495","viralngs",515212,76421715,1018.73,30.19," 5;33.28",1378148,6653088," 314%"
"V2316","NGS_Ode","SAMD00025495","vpipe",515212,76421715,16652.23,1582.89," 1;20;33",1198908,17214072," 377%"
"V246","NGS_Ode","SAMD00025496","shiver",180748,28813627,4767.77,44.35," 1;17;25",1434096,10963056," 103%"
"V2118","NGS_Ode","SAMD00025496","smaltalign",180748,28813627,1733.09,14.9," 9;36.41",1428204,1869624," 303%"
"V2217","NGS_Ode","SAMD00025496","viralngs",180748,28813627,200.3,10.65," 1;01.73",452312,1708160," 341%"
"V2317","NGS_Ode","SAMD00025496","vpipe",180748,28813627,12556.6,3368.42," 1;10;12",1184744,14302928," 378%"
"V247","NGS_Ode","SAMD00025497","shiver",629874,99455676,6968.39,58.72," 1;51;30",1348204,25327248," 105%"
"V2119","NGS_Ode","SAMD00025497","smaltalign",629874,99455676,1833.72,17.56," 10;31.46",1427192,2060728," 293%"
"V2218","NGS_Ode","SAMD00025497","viralngs",629874,99455676,1290.48,35.39," 8;06.71",1381756,8406208," 272%"
"V2318","NGS_Ode","SAMD00025497","vpipe",629874,99455676,18951.44,1752.29," 1;31;33",1198364,18129008," 376%"
