"Dataset","Sample","Assembly","total_reads","size","User_time","System_time","Elapsed_time","MRSS","File_outputs","CPU_percentage"
"V284","NGS_Ode","SAMD00025534","shiver",351468,59503901,6501.21,49.09," 1;44;29",1358192,18546960," 104%"
"V2156","NGS_Ode","SAMD00025534","smaltalign",351468,59503901,2283.36,16.88," 14;52.22",1427428,2200440," 257%"
"V2255","NGS_Ode","SAMD00025534","viralngs",351468,59503901,1198.23,28.08," 4;47.24",991204,5920416," 426%"
"V2355","NGS_Ode","SAMD00025534","vpipe",351468,59503901,4344.92,560.36," 24;01.75",1198632,14691360," 340%"
"V285","NGS_Ode","SAMD00025535","shiver",757636,111219009,7642.08,77.7," 2;02;22",1560180,31980568," 105%"
"V2157","NGS_Ode","SAMD00025535","smaltalign",757636,111219009,1653.18,14.55," 9;33.16",1427320,1959568," 290%"
"V2256","NGS_Ode","SAMD00025535","viralngs",757636,111219009,1326.97,38.82," 8;39.86",1389624,8861720," 262%"
"V2356","NGS_Ode","SAMD00025535","vpipe",757636,111219009,25796.74,5600.87," 2;16;42",1190988,18968664," 382%"
"V286","NGS_Ode","SAMD00025536","shiver",571534,82724939,4338.19,44.62," 1;09;59",1690748,15312056," 104%"
"V2158","NGS_Ode","SAMD00025536","smaltalign",571534,82724939,1653.16,13.12," 9;39.43",1428004,1920168," 287%"
"V2257","NGS_Ode","SAMD00025536","viralngs",571534,82724939,925.22,28.85," 5;47.85",1355356,6405352," 274%"
"V2357","NGS_Ode","SAMD00025536","vpipe",571534,82724939,23326.85,4514.61," 2;01;38",1188864,17770112," 381%"
"V287","NGS_Ode","SAMD00025537","shiver",727170,103857804,6019.04,67.2," 1;36;01",1409932,25915032," 105%"
"V2159","NGS_Ode","SAMD00025537","smaltalign",727170,103857804,1692.85,14.87," 10;21.74",1427068,1917400," 274%"
"V2258","NGS_Ode","SAMD00025537","viralngs",727170,103857804,1213.93,36.81," 7;46.36",1377988,8669048," 268%"
"V2358","NGS_Ode","SAMD00025537","vpipe",727170,103857804,22586.27,3783.55," 1;55;27",1190184,18906968," 380%"
"V288","NGS_Ode","SAMD00025538","shiver",782588,109247072,7113.96,62.08," 1;54;12",1349668,27036792," 104%"
"V2160","NGS_Ode","SAMD00025538","smaltalign",782588,109247072,1590.99,14.52," 9;11.78",1427140,1901224," 290%"
"V2259","NGS_Ode","SAMD00025538","viralngs",782588,109247072,1305.23,40.19," 8;53.49",1353384,9263416," 252%"
"V2359","NGS_Ode","SAMD00025538","vpipe",782588,109247072,26077.41,5265.01," 2;16;12",1191724,19174512," 383%"
"V289","NGS_Ode","SAMD00025539","shiver",710486,102034227,6383.03,58.85," 1;43;25",1341476,22301936," 103%"
"V2161","NGS_Ode","SAMD00025539","smaltalign",710486,102034227,1850.39,15.1," 9;42.99",1427400,1956168," 319%"
"V2260","NGS_Ode","SAMD00025539","viralngs",710486,102034227,1558.42,38.24," 10;09.81",1385200,8693128," 261%"
"V2360","NGS_Ode","SAMD00025539","vpipe",710486,102034227,55773.53,21420.95," 5;30;15",1181144,18314992," 389%"
"V290","NGS_Ode","SAMD00025540","shiver",665346,95031066,6901.01,65.43," 1;50;51",1395824,26774160," 104%"
"V2162","NGS_Ode","SAMD00025540","smaltalign",665346,95031066,1817.04,16.67," 10;08.75",1427364,1939608," 301%"
"V2261","NGS_Ode","SAMD00025540","viralngs",665346,95031066,1221.59,35.47," 8;29.31",1316716,7878216," 246%"
"V2361","NGS_Ode","SAMD00025540","vpipe",665346,95031066,36546.73,11802.39," 3;28;26",1185464,17824856," 386%"
"V291","NGS_Ode","SAMD00025541","shiver",538112,78779091,6072.3,52.24," 1;37;43",1351216,20188360," 104%"
"V2163","NGS_Ode","SAMD00025541","smaltalign",538112,78779091,1862.74,14.67," 11;34.90",1427192,1954360," 270%"
"V2262","NGS_Ode","SAMD00025541","viralngs",538112,78779091,1062.91,31.29," 5;52.96",1340168,6567952," 310%"
"V2362","NGS_Ode","SAMD00025541","vpipe",538112,78779091,19148.16,2966.11," 1;37;31",1185732,17419528," 377%"
"V292","NGS_Ode","SAMD00025542","shiver",622126,84658010,7831.67,60.88," 2;06;09",1616956,22623240," 104%"
"V2164","NGS_Ode","SAMD00025542","smaltalign",622126,84658010,1676.23,13.4," 10;17.07",1427088,1857024," 273%"
"V2263","NGS_Ode","SAMD00025542","viralngs",622126,84658010,990.41,32.49," 5;40.47",1354156,7192720," 300%"
"V2363","NGS_Ode","SAMD00025542","vpipe",622126,84658010,20918.21,3288," 1;46;08",1187844,17872776," 380%"
"V293","NGS_Ode","SAMD00025543","shiver",603132,82172426,8133.61,74.74," 2;10;49",1418672,28561824," 104%"
"V2165","NGS_Ode","SAMD00025543","smaltalign",603132,82172426,1626.23,16.12," 9;26.64",1427372,1886176," 289%"
"V2264","NGS_Ode","SAMD00025543","viralngs",603132,82172426,1019.88,30.89," 6;42.18",1360924,6706312," 261%"
"V2364","NGS_Ode","SAMD00025543","vpipe",603132,82172426,22082.66,3610.57," 1;52;33",1193360,18128392," 380%"
"V294","NGS_Ode","SAMD00025544","shiver",764068,103453663,10674.27,80.71," 2;50;48",1595224,31310904," 104%"
"V2166","NGS_Ode","SAMD00025544","smaltalign",764068,103453663,1713.11,15.11," 10;49.68",1427160,1859808," 266%"
"V2265","NGS_Ode","SAMD00025544","viralngs",764068,103453663,1239.49,36.03," 7;19.41",1336844,8205672," 290%"
"V2365","NGS_Ode","SAMD00025544","vpipe",764068,103453663,22086.81,3394.6," 1;51;47",1206740,19033208," 379%"
"V295","NGS_Ode","SAMD00025545","shiver",1598524,180613156,15377.33,162.18," 4;02;23",1348280,68246600," 106%"
"V2167","NGS_Ode","SAMD00025545","smaltalign",1598524,180613156,1299.69,12.47," 7;42.30",1427052,1615688," 283%"
"V2266","NGS_Ode","SAMD00025545","viralngs",1598524,180613156,1875.56,58.02," 11;29.74",1403228,14433408," 280%"
"V2366","NGS_Ode","SAMD00025545","vpipe",1598524,180613156,30827.94,6633.42," 2;43;23",1179008,22245648," 382%"
"V296","NGS_Ode","SAMD00025546","shiver",1649546,184257930,5222.63,78.76," 1;22;48",1476652,32494304," 106%"
"V2168","NGS_Ode","SAMD00025546","smaltalign",1649546,184257930,1156.97,11.69," 6;30.97",1427064,1599144," 298%"
"V2267","NGS_Ode","SAMD00025546","viralngs",1649546,184257930,2206.77,57.57," 17;29.19",1505868,14963864," 215%"
"V2367","NGS_Ode","SAMD00025546","vpipe",1649546,184257930,31967.62,7621.23," 2;52;25",1189952,22090600," 382%"
"V297","NGS_Ode","SAMD00025547","shiver",1473726,171769521,10728.76,120.86," 2;49;21",1672256,46447992," 106%"
"V2169","NGS_Ode","SAMD00025547","smaltalign",1473726,171769521,1317.07,13.38," 7;59.50",1426964,1658248," 277%"
"V2268","NGS_Ode","SAMD00025547","viralngs",1473726,171769521,1087.03,46.8," 5;28.16",1216544,11732128," 345%"
"V2368","NGS_Ode","SAMD00025547","vpipe",1473726,171769521,30193.68,7065.21," 2;41;57",1361224,21341056," 383%"
"V298","NGS_Ode","SAMD00025548","shiver",1480630,169627746,14399.15,140.17," 3;47;38",1394904,57859824," 106%"
"V2170","NGS_Ode","SAMD00025548","smaltalign",1480630,169627746,1616.81,12.32," 10;16.70",1427328,1646376," 264%"
"V2269","NGS_Ode","SAMD00025548","viralngs",1480630,169627746,1862.97,57.06," 10;18.22",1430044,14016032," 310%"
"V2369","NGS_Ode","SAMD00025548","vpipe",1480630,169627746,75279.67,30530.12," 7;31;42",1360652,20941824," 390%"
"V299","NGS_Ode","SAMD00025549","shiver",1491396,165275758,15911.41,162.32," 4;08;55",1370368,59793312," 107%"
"V2171","NGS_Ode","SAMD00025549","smaltalign",1491396,165275758,1391.76,10.46," 8;05.79",1427368,1601512," 288%"
"V2270","NGS_Ode","SAMD00025549","viralngs",1491396,165275758,1823.75,53.7," 13;30.93",1411472,13919680," 231%"
"V2370","NGS_Ode","SAMD00025549","vpipe",1491396,165275758,71163.28,28002.3," 7;03;28",1183840,20996584," 390%"
"V2100","NGS_Ode","SAMD00025550","shiver",1625828,183851798,7271.16,95.44," 1;55;22",1516600,38080480," 106%"
"V2172","NGS_Ode","SAMD00025550","smaltalign",1625828,183851798,1238.29,10.86," 7;38.85",1427216,1589368," 272%"
"V2271","NGS_Ode","SAMD00025550","viralngs",1625828,183851798,2327.09,61.48," 13;58.23",1437472,15073824," 284%"
"V2371","NGS_Ode","SAMD00025550","vpipe",1625828,183851798,30883.18,7304.06," 2;46;15",1189596,21232296," 382%"
"V2101","NGS_Ode","SAMD00025551","shiver",1490532,172757826,12572.4,134.84," 3;17;34",1578940,53002048," 107%"
"V2173","NGS_Ode","SAMD00025551","smaltalign",1490532,172757826,1506.71,12.33," 8;47.90",1427116,1657984," 287%"
"V2272","NGS_Ode","SAMD00025551","viralngs",1490532,172757826,1928.83,55.68," 12;30.03",1395320,13688240," 264%"
"V2372","NGS_Ode","SAMD00025551","vpipe",1490532,172757826,67989.06,27134.51," 6;46;21",1182832,21058280," 390%"
"V2102","NGS_Ode","SAMD00025552","shiver",1403382,160060528,7918.53,115.8," 2;05;07",1453428,42581088," 107%"
"V2174","NGS_Ode","SAMD00025552","smaltalign",1403382,160060528,1156.22,10.65," 6;17.28",1427328,1598104," 309%"
"V2273","NGS_Ode","SAMD00025552","viralngs",1403382,160060528,1975.3,52.83," 14;08.53",1472508,13764032," 239%"
"V2373","NGS_Ode","SAMD00025552","vpipe",1403382,160060528,29976.28,6835.62," 2;40;52",1192532,20445144," 381%"
"V2103","NGS_Ode","SAMD00025553","shiver",712930,109237829,9600.73,70.44," 2;33;58",1353588,31540528," 104%"
"V2175","NGS_Ode","SAMD00025553","smaltalign",712930,109237829,2246.34,17.25," 13;20.24",1427312,2097096," 282%"
"V2274","NGS_Ode","SAMD00025553","viralngs",712930,109237829,1667.39,45.53," 8;30.22",1388860,10420520," 335%"
"V2374","NGS_Ode","SAMD00025553","vpipe",712930,109237829,44024.34,15771.07," 4;16;21",1189408,18390720," 388%"
"V2104","NGS_Ode","SAMD00025554","shiver",526140,87569286,4786.28,43.65," 1;17;27",1536904,14971312," 103%"
"V2176","NGS_Ode","SAMD00025554","smaltalign",526140,87569286,2992.04,19.02," 21;36.36",1427648,2242080," 232%"
"V2275","NGS_Ode","SAMD00025554","viralngs",526140,87569286,1836.38,41.47," 7;14.28",1430284,9626264," 432%"
"V2375","NGS_Ode","SAMD00025554","vpipe",526140,87569286,19828.6,5703.52," 1;51;26",1193360,16409416," 381%"
"V2105","NGS_Ode","SAMD00025555","shiver",538112,86321169,9033.38,68.74," 2;25;13",1569856,24964416," 104%"
"V2177","NGS_Ode","SAMD00025555","smaltalign",538112,86321169,2507.33,20.73," 14;37.19",1428628,2176168," 288%"
"V2276","NGS_Ode","SAMD00025555","viralngs",538112,86321169,1582.49,38.95," 6;58.87",1395820,9239848," 387%"
"V2376","NGS_Ode","SAMD00025555","vpipe",538112,86321169,24648.47,7655.24," 2;20;04",1178796,16581552," 384%"
"V2106","NGS_Ode","SAMD00025556","shiver",841250,124960191,4336.06,49.47," 1;10;34",1799316,18967992," 103%"
"V2178","NGS_Ode","SAMD00025556","smaltalign",841250,124960191,1893.6,15.96," 9;48.43",1427220,2036952," 324%"
"V2277","NGS_Ode","SAMD00025556","viralngs",841250,124960191,1941.71,48.08," 13;49.06",1411824,12206464," 240%"
"V2377","NGS_Ode","SAMD00025556","vpipe",841250,124960191,55386.09,20777.92," 5;26;00",1174884,19139360," 389%"
"V2107","NGS_Ode","SAMD00025557","shiver",754118,113814013,8755.63,71.11," 2;21;06",1539956,27190848," 104%"
"V2179","NGS_Ode","SAMD00025557","smaltalign",754118,113814013,2368.97,17.65," 14;44.42",1427700,2087928," 269%"
"V2278","NGS_Ode","SAMD00025557","viralngs",754118,113814013,1759.42,46.57," 9;22.66",1369788,11039752," 320%"
"V2378","NGS_Ode","SAMD00025557","vpipe",754118,113814013,45116.2,16467.76," 4;24;16",1182008,18564272," 388%"
"V2108","NGS_Ode","SAMD00025558","shiver",673102,101165763,5482.42,44.85," 1;28;21",1359032,18552672," 104%"
"V2180","NGS_Ode","SAMD00025558","smaltalign",673102,101165763,2653.83,19.12," 17;07.03",1427292,2076544," 260%"
"V2279","NGS_Ode","SAMD00025558","viralngs",673102,101165763,1292.14,39.61," 6;12.49",1425336,9142720," 357%"
"V2379","NGS_Ode","SAMD00025558","vpipe",673102,101165763,47335.86,16663.86," 4;33;33",1181192,18778752," 389%"
"V2109","NGS_Ode","SAMD00025559","shiver",461722,64192929,6479.22,55.32," 1;45;00",1350444,18110712," 103%"
"V2181","NGS_Ode","SAMD00025559","smaltalign",461722,64192929,1955.85,14.85," 12;09.17",1427272,1893488," 270%"
"V2280","NGS_Ode","SAMD00025559","viralngs",461722,64192929,777.46,24.88," 4;38.91",1331492,4710360," 287%"
"V2380","NGS_Ode","SAMD00025559","vpipe",461722,64192929,26688.43,8377.29," 2;31;42",1176412,16572744," 385%"
"V2182","NGS_Ode","SAMD00025560","shiver",598506,97766041,6044.21,50.64," 1;37;00",1439076,19538320," 104%"
"V2183","NGS_Ode","SAMD00025560","smaltalign",598506,97766041,1764.62,14.68," 9;38.53",1427120,2092952," 307%"
"V2281","NGS_Ode","SAMD00025560","viralngs",598506,97766041,1275.04,34.57," 7;14.12",1334768,8157616," 301%"
"V2381","NGS_Ode","SAMD00025560","vpipe",598506,97766041,15469.49,1906.46," 1;18;02",1196492,17244056," 371%"
"V2184","NGS_Ode","SAMD00025561","shiver",746762,110301935,6494.32,59.27," 1;44;44",1550120,22047880," 104%"
"V2185","NGS_Ode","SAMD00025561","smaltalign",746762,110301935,1621.93,13.88," 8;33.09",1428652,1986840," 318%"
"V2282","NGS_Ode","SAMD00025561","viralngs",746762,110301935,1551.37,40.9," 11;23.18",1403008,10199400," 233%"
"V2382","NGS_Ode","SAMD00025561","vpipe",746762,110301935,19977.08,3120.43," 1;42;22",1202244,18554352," 376%"
"V2186","NGS_Ode","SAMD00025562","shiver",791234,122470345,7330.22,72.88," 1;58;19",1515660,27192216," 104%"
"V2187","NGS_Ode","SAMD00025562","smaltalign",791234,122470345,1764.67,15.25," 9;36.40",1427464,2061088," 308%"
"V2283","NGS_Ode","SAMD00025562","viralngs",791234,122470345,1622.47,43.1," 9;55.73",1342232,10330216," 279%"
"V2383","NGS_Ode","SAMD00025562","vpipe",791234,122470345,20483.27,3310.7," 1;45;03",1195160,18871528," 377%"
"V2188","NGS_Ode","SAMD00025563","shiver",1102536,168049718,7542.58,63.22," 2;00;50",1467672,29653416," 104%"
"V2189","NGS_Ode","SAMD00025563","smaltalign",1102536,168049718,1900.35,14.98," 11;13.13",1427232,2065624," 284%"
"V2284","NGS_Ode","SAMD00025563","viralngs",1102536,168049718,3435.15,68.8," 14;34.16",1368848,16669160," 400%"
"V2384","NGS_Ode","SAMD00025563","vpipe",1102536,168049718,19699.73,3025.41," 1;40;34",1194872,19965056," 376%"
"V2190","NGS_Ode","SAMD00025564","shiver",576660,93494887,4861.27,42.63," 1;18;15",1573748,15163960," 104%"
"V2191","NGS_Ode","SAMD00025564","smaltalign",576660,93494887,2128.78,15.88," 12;52.99",1427004,2138880," 277%"
"V2285","NGS_Ode","SAMD00025564","viralngs",576660,93494887,1734.97,38.61," 7;31.72",1419436,9174904," 392%"
"V2385","NGS_Ode","SAMD00025564","vpipe",576660,93494887,11348.77,1068.92," 56;24.00",1191820,16597744," 366%"
"V2192","NGS_Ode","SAMD00025565","shiver",669770,97619193,15894.48,98.16," 4;15;00",1358644,42093808," 104%"
"V2193","NGS_Ode","SAMD00025565","smaltalign",669770,97619193,1748.54,14.21," 9;53.60",1427120,1953536," 296%"
"V2286","NGS_Ode","SAMD00025565","viralngs",669770,97619193,1378.61,36.02," 6;47.81",1343016,8597504," 346%"
"V2386","NGS_Ode","SAMD00025565","vpipe",669770,97619193,15184.95,2140.5," 1;17;20",1201488,17231920," 373%"
"V2194","NGS_Ode","SAMD00025566","shiver",429736,72403056,12458.97,80.17," 3;20;52",1709028,31161896," 104%"
"V2195","NGS_Ode","SAMD00025566","smaltalign",429736,72403056,1853.41,15.18," 11;21.23",1427572,2117336," 274%"
"V2287","NGS_Ode","SAMD00025566","viralngs",429736,72403056,939.47,26.69," 5;46.87",1298000,5307856," 278%"
"V2387","NGS_Ode","SAMD00025566","vpipe",429736,72403056,12190.07,964.22," 59;24.71",1195976,16443144," 369%"
"V2196","NGS_Ode","SAMD00025567","shiver",651766,102331493,9564.62,61.52," 2;33;57",1428220,24472552," 104%"
"V2197","NGS_Ode","SAMD00025567","smaltalign",651766,102331493,1870.02,15.7," 11;29.95",1427952,2061056," 273%"
"V2288","NGS_Ode","SAMD00025567","viralngs",651766,102331493,1424.28,37.47," 8;06.21",1357496,8831936," 300%"
"V2388","NGS_Ode","SAMD00025567","vpipe",651766,102331493,16730.3,1631.65," 1;21;27",1201964,17769336," 375%"
"V2198","NGS_Ode","SAMD00025568","shiver",654022,104140868,10713.89,76.46," 2;51;51",1491256,31281568," 104%"
"V2199","NGS_Ode","SAMD00025568","smaltalign",654022,104140868,1695,17.94," 9;37.25",1427216,2061824," 296%"
"V2289","NGS_Ode","SAMD00025568","viralngs",654022,104140868,1499.75,38.1," 9;25.67",1358928,9074616," 271%"
"V2389","NGS_Ode","SAMD00025568","vpipe",654022,104140868,17541.71,2600.88," 1;29;17",1195720,17509280," 375%"
"V2200","NGS_Ode","SAMD00025569","shiver",914632,132180963,9519.36,84.55," 2;33;41",1355736,31594568," 104%"
"V21100","NGS_Ode","SAMD00025569","smaltalign",914632,132180963,1577.1,16.06," 9;15.55",1427356,1949800," 286%"
"V2290","NGS_Ode","SAMD00025569","viralngs",914632,132180963,1961.14,49.92," 12;11.74",1393188,12348248," 274%"
"V2390","NGS_Ode","SAMD00025569","vpipe",914632,132180963,23328.69,4302.43," 2;01;26",1202288,19235696," 379%"
